timestamp,Basel Temperature [2 m elevation corrected],Basel Growing Degree Days [2 m elevation corrected],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20220106T1600,4.150245,0,5.1544156,12.094757
20220106T1700,3.9402456,0,2.5455842,8.130096
20220106T1800,2.1902454,0,1.835647,11.309921
20220106T1900,2.1502454,0,1.0182338,44.999985
20220106T2000,1.5802454,0,2.8116899,320.19443
20220106T2100,0.8702454,0,1.5273507,44.999985
20220106T2200,0.3102454,0,0.35999998,180
20220106T2300,-0.009754598,0,1.609969,153.43495
20220107T0000,-1.1897546,0,3.6179552,174.28941
20220107T0100,-1.4697546,0,6.638072,167.47119
20220107T0200,-2.0597544,0,5.0142193,158.9625
20220107T0300,-1.6297547,0,4.896529,162.89728
20220107T0400,-0.88975465,0,4.802999,167.00539
20220107T0500,-0.9597546,0,5.4119864,176.18593
20220107T0600,-1.0497546,0,6.4799995,180
20220107T0700,-0.89975464,0,6.162207,186.70984
20220107T0800,-0.62975454,0,6.5693827,189.46233
20220107T0900,-0.4597546,0,7.5685663,182.72632
20220107T1000,0.080245405,0,9.028754,175.42609
20220107T1100,0.84024537,0,9.746631,175.76361
20220107T1200,1.8302454,0,11.165805,181.84761
20220107T1300,2.0102453,0,11.525623,194.47029
20220107T1400,2.0202456,0,14.039999,202.61987
20220107T1500,1.6602454,0,14.654254,207.8241
20220107T1600,1.6002454,0,12.313894,217.87498
20220107T1700,1.7702454,0,13.004922,221.63354
20220107T1800,1.9602454,0,13.324863,218.41806
20220107T1900,1.7802454,0,13.104198,217.18471
20220107T2000,1.9202454,0,13.755579,222.8789
20220107T2100,2.1502454,0,13.246826,222.7974
20220107T2200,2.5302453,0,13.089354,211.50427
20220107T2300,2.8202453,0,14.007655,205.90651
20220108T0000,2.9202452,0,14.658676,204.67686
20220108T0100,3.2702456,0,17.193533,199.57312
20220108T0200,3.4502454,0,18.345877,195.94539
20220108T0300,3.3702455,0,19.592731,200.43283
20220108T0400,3.2002454,0,20.696087,220.06079
20220108T0500,3.3402452,0,21.30093,239.53445
20220108T0600,3.6002455,0,22.104116,253.92644
20220108T0700,3.5702453,0,18.448023,264.40067
20220108T0800,3.2402453,0,14.869351,263.04706
20220108T0900,2.7102456,0,12.522619,251.56506
20220108T1000,2.6002455,0,10.883676,235.7843
20220108T1100,2.6702452,0,13.584932,237.99463
20220108T1200,3.0902452,0,15.876775,237.0306
20220108T1300,3.7402453,0,18.709612,239.98164
20220108T1400,4.4702454,0,17.429354,231.70984
20220108T1500,4.8402452,0,16.992609,216.38435
20220108T1600,5.0502453,0,16.485485,211.6075
20220108T1700,5.0702453,0,13.049689,204.44395
20220108T1800,4.9902453,0,13.1041975,200.9245
20220108T1900,5.4102454,0,13.661038,198.43495
20220108T2000,5.2402453,0,14.458382,198.8861
20220108T2100,5.440245,0,16.808569,189.86581
20220108T2200,5.5902452,0,18.03237,183.43362
20220108T2300,5.630245,0,18.416384,184.4846
20220109T0000,5.880245,0,17.294992,182.38594
20220109T0100,5.5802455,0,20.969805,191.88866
20220109T0200,5.750245,0,20.833395,198.12186
20220109T0300,6.2202454,0,27.80403,221.3255
20220109T0400,5.710245,0,26.368616,237.82878
20220109T0500,5.2002454,0,23.710857,239.93143
20220109T0600,4.6002455,0,22.73707,246.68228
20220109T0700,4.1602454,0,23.510508,258.518
20220109T0800,4.1902456,0,22.380884,258.87082
20220109T0900,4.2702456,0,19.255793,249.1932
20220109T1000,4.0502453,0,16.923828,240.70865
20220109T1100,4.2702456,0,14.84318,230.90614
20220109T1200,4.420245,0,13.830749,231.3402
20220109T1300,4.4802456,0,17.373497,235.98065
20220109T1400,4.5902452,0,16.267857,245.1363
20220109T1500,4.650245,0,15.937878,251.56506
20220109T1600,4.5902452,0,11.966953,248.83875
20220109T1700,4.0702453,0,10.948973,242.59244
20220109T1800,3.7902455,0,7.8954163,226.84761
20220109T1900,3.2002454,0,6.297428,210.96376
20220109T2000,2.7602453,0,6.4096174,218.15723
20220109T2100,2.4902453,0,6.1094027,225
20220109T2200,2.2102454,0,4.3349743,228.36647
20220109T2300,1.9402454,0,5.3517847,227.72632
20220110T0000,1.6502454,0,4.510787,241.38954
20220110T0100,1.8102454,0,5.315336,241.69925
20220110T0200,1.7802454,0,5.3517847,222.27368
20220110T0300,1.9202454,0,4.5536795,251.56506
20220110T0400,2.1002455,0,3.4152596,288.43497
20220110T0500,1.5902454,0,2.2768397,341.56506
20220110T0600,1.4902453,0,2.4149535,26.565033
20220110T0700,1.5902454,0,4.0249224,10.30484
20220110T0800,1.8602453,0,4.452954,14.03624
20220110T0900,1.7602454,0,3.9763298,5.194412
20220110T1000,1.7302454,0,3.319036,347.4712
20220110T1100,2.2502456,0,6.162207,353.29016
20220110T1200,2.8002453,0,6.8399997,360
20220110T1300,3.2602453,0,6.379216,16.389526
20220110T1400,4.150245,0,7.8954163,24.227737
20220110T1500,4.5902452,0,9.085988,33.690063
20220110T1600,4.8302455,0,9.290511,35.53766
20220110T1700,4.4402456,0,7.10031,30.465546
20220110T1800,3.1802454,0,6.130579,3.3664398
20220110T1900,2.0502453,0,7.928178,357.39746
20220110T2000,1.3602455,0,7.69592,10.7842865
20220110T2100,0.9102454,0,8.39657,30.963745
20220110T2200,0.2502454,0,7.8954163,43.15239
20220110T2300,-0.04975462,0,6.618519,44.999985
20220111T0000,-0.3097546,0,7.127636,44.999985
20220111T0100,-0.51975465,0,7.145796,40.914368
20220111T0200,-0.1297546,0,6.792466,32.005356
20220111T0300,-0.3197546,0,5.8048253,29.744873
20220111T0400,-0.39975458,0,6.9153743,38.659805
20220111T0500,-0.2697546,0,7.127636,44.999985
20220111T0600,-0.5797546,0,6.638072,40.601288
20220111T0700,-0.29975462,0,6.6185193,22.380127
20220111T0800,0.6302454,0,7.289444,20.224854
20220111T0900,0.9102454,0,7.754637,21.801407
20220111T1000,1.1202455,0,6.5693827,9.462311
20220111T1100,1.6902454,0,7.342588,11.309921
20220111T1200,1.9902455,0,10.30883,24.775131
20220111T1300,2.7702456,0,11.480557,41.18593
20220111T1400,3.4902453,0,11.720751,47.489548
20220111T1500,3.9802456,0,11.304229,52.76516
20220111T1600,4.3202453,0,10.514218,51.95294
20220111T1700,3.9102454,0,7.127636,44.999985
20220111T1800,1.5402454,0,6.4096174,38.157227
20220111T1900,0.6902454,0,7.289445,32.905228
20220111T2000,0.16024542,0,8.0899935,32.275635
20220111T2100,-0.48975456,0,7.9036193,30.068573
20220111T2200,-0.85975456,0,7.289445,32.905228
20220111T2300,-1.0097545,0,6.8777895,47.121094
20220112T0000,-1.3297546,0,6.763786,64.79888
20220112T0100,-1.7397546,0,6.519877,83.65981
20220112T0200,-2.1897545,0,5.8603754,79.38034
20220112T0300,-2.5497546,0,5.6920996,71.56504
20220112T0400,-2.7997546,0,6.151683,69.443954
20220112T0500,-2.9797544,0,5.8603754,79.38034
20220112T0600,-3.1897545,0,5.506941,78.69006
20220112T0700,-3.1097546,0,5.6920996,71.56504
20220112T0800,-3.1197548,0,5.5887027,75.06858
20220112T0900,-3.2597547,0,5.0528407,85.91438
20220112T1000,-1.9497546,0,3.7585104,73.30075
20220112T1100,-0.7197546,0,4.6938252,94.398705
20220112T1200,0.2702454,0,4.2136917,109.9831
20220112T1300,1.2202454,0,4.6102495,51.34018
20220112T1400,1.7502455,0,5.495161,31.607498
20220112T1500,2.4202454,0,5.1919937,33.690063
20220112T1600,2.8202453,0,6.297428,30.963745
20220112T1700,2.4702454,0,5.3999996,36.86989
20220112T1800,0.3002454,0,6.696387,53.746155
20220112T1900,-1.0097545,0,6.489992,70.55996
20220112T2000,-1.7997545,0,6.638072,49.398697
20220112T2100,-2.2097545,0,5.8048253,60.25511
20220112T2200,-2.5197544,0,4.452954,75.96376
20220112T2300,-3.0497546,0,5.495161,58.392494
20220113T0000,-3.3897548,0,3.396233,57.994614
20220113T0100,-3.6697545,0,3.7585104,73.30075
20220113T0200,-3.8997545,0,3.6179552,84.289406
20220113T0300,-3.979755,0,3.6179552,84.289406
20220113T0400,-3.9197545,0,3.671294,78.69006
20220113T0500,-4.1997547,0,3.7585104,73.30075
20220113T0600,-4.2597547,0,3.671294,78.69006
20220113T0700,-4.1997547,0,3.0758414,69.443954
20220113T0800,-4.0897546,0,3.4152596,71.56504
20220113T0900,-4.0897546,0,3.671294,78.69006
20220113T1000,-3.4397545,0,5.0142193,68.96249
20220113T1100,-1.4497546,0,5.634891,63.43495
20220113T1200,-0.0697546,0,5.0911684,81.869896
20220113T1300,1.0102454,0,5.8048253,82.874985
20220113T1400,2.1802454,0,6.151683,69.443954
20220113T1500,2.9702454,0,7.491114,54.782394
20220113T1600,3.3602452,0,7.145796,49.085617
20220113T1700,2.5802455,0,6.618519,44.999985
20220113T1800,0.2602454,0,7.9932966,54.16234
20220113T1900,-0.5597546,0,5.154415,65.224846
20220113T2000,-1.0097545,0,4.0249224,79.695145
20220113T2100,-1.4497546,0,3.6,89.99999
20220113T2200,-2.0797548,0,2.968636,104.03624
20220113T2300,-2.5697546,0,3.219938,116.56505
20220114T0000,-2.6697545,0,2.4149535,153.43495
20220114T0100,-2.9397545,0,4.510787,151.38954
20220114T0200,-3.0997548,0,3.7064266,150.94539
20220114T0300,-3.2597547,0,3.7064266,150.94539
20220114T0400,-3.3897548,0,3.7064266,150.94539
20220114T0500,-3.519755,0,4.198285,149.03624
20220114T0600,-3.8697548,0,5.0142193,158.9625
20220114T0700,-3.9897547,0,4.829907,153.43495
20220114T0800,-4.1897545,0,4.8965297,143.97263
20220114T0900,-4.1097546,0,4.5820518,135
20220114T1000,-3.3397546,0,4.8965297,143.97263
20220114T1100,-1.3897547,0,4.829907,153.43495
20220114T1200,0.17024541,0,4.510787,151.38954
20220114T1300,1.8202454,0,4.510787,151.38954
20220114T1400,3.1202455,0,2.8116899,129.80557
20220114T1500,4.110245,0,2.6208394,105.9454
20220114T1600,4.8102455,0,2.3051248,128.6598
20220114T1700,5.7802453,0,4.6102495,141.34018
20220114T1800,3.6202455,0,5.1165614,140.71059
20220114T1900,0.11024541,0,3.6,126.869896
20220114T2000,-0.64975464,0,2.5959969,123.69006
20220114T2100,-1.4597546,0,2.3051248,141.34018
20220114T2200,-1.9997545,0,2.5959969,146.30994
20220114T2300,-2.1397548,0,2.3051248,128.6598
20220115T0000,-2.2597547,0,3.0547013,135
20220115T0100,-2.3197546,0,4.5820518,135
20220115T0200,-2.5697546,0,4.1046314,127.874985
20220115T0300,-2.8097544,0,3.319036,130.60129
20220115T0400,-3.2497544,0,3.0547013,135
20220115T0500,-3.4297547,0,3.7064266,150.94539
20220115T0600,-3.6497545,0,4.3498964,155.55605
20220115T0700,-3.8097548,0,4.8965297,143.97263
20220115T0800,-3.7997546,0,5.0911684,135
20220115T0900,-4.1297545,0,5.3517847,132.27368
20220115T1000,-3.1497545,0,6.1305785,139.76364
20220115T1100,-1.4397546,0,4.8965297,143.97263
20220115T1200,-0.46975458,0,4.1046314,127.874985
20220115T1300,0.7202454,0,5.6233797,140.19443
20220115T1400,2.0402455,0,4.8965297,143.97263
20220115T1500,3.3102455,0,3.8268526,138.81407
20220115T1600,3.5502453,0,3.319036,139.3987
20220115T1700,3.7602453,0,4.6938257,147.52881
20220115T1800,2.9002452,0,5.4833565,156.8014
20220115T1900,-0.24975461,0,3.396233,147.99461
20220115T2000,-0.87975454,0,4.1046314,142.12502
20220115T2100,-1.5597545,0,4.39436,145.00798
20220115T2200,-1.8997546,0,5.00128,149.74356
20220115T2300,-2.0397544,0,5.315336,151.69923
20220116T0000,-2.0497546,0,3.8939953,146.30994
20220116T0100,-2.1797547,0,4.6938257,147.52881
20220116T0200,-2.2897544,0,4.6800003,157.38013
20220116T0300,-2.3097544,0,4.3349743,175.23636
20220116T0400,-2.0197544,0,4.32,180
20220116T0500,-1.8297547,0,5.4119864,183.81407
20220116T0600,-1.8697547,0,5.4477882,187.59465
20220116T0700,-1.9497546,0,5.937272,194.03624
20220116T0800,-2.1097546,0,6.28713,193.24052
20220116T0900,-2.3297548,0,6.0347,197.35403
20220116T1000,-1.9597546,0,6.379216,196.38954
20220116T1100,-0.8497546,0,7.172949,197.52557
20220116T1200,0.1802454,0,8.225035,246.8014
20220116T1300,0.7602454,0,9.227524,249.44395
20220116T1400,1.6402454,0,9.227524,249.44395
20220116T1500,2.3102455,0,8.557102,255.37914
20220116T1600,2.2402453,0,7.928178,267.39746
20220116T1700,2.0102453,0,5.7599998,270
20220116T1800,0.2402454,0,7.172949,252.47443
20220116T1900,-0.52975464,0,6.4096174,218.15723
20220116T2000,-0.3797546,0,5.3517847,199.65382
20220116T2100,0.13024542,0,7.072878,194.74356
20220116T2200,0.19024539,0,6.638072,192.52881
20220116T2300,0.5902454,0,4.5536795,198.43495
20220117T0000,0.6602454,0,4.8965297,216.02737
20220117T0100,0.9302454,0,4.8433046,221.98721
20220117T0200,0.9302454,0,4.072935,225
20220117T0300,0.8602454,0,4.1046314,217.87498
20220117T0400,0.7502454,0,3.8939953,213.69006
20220117T0500,0.4402454,0,4.3498964,204.44395
20220117T0600,0.84024537,0,5.315336,208.30077
20220117T0700,0.77024543,0,3.7064266,209.05461
20220117T0800,0.6802454,0,3.7064266,209.05461
20220117T0900,-0.0697546,0,5.1919937,213.69006
20220117T1000,0.41024542,0,4.6938257,212.47119
20220117T1100,1.7202454,0,3.7064266,209.05461
20220117T1200,2.6002455,0,8.161764,221.42366
20220117T1300,3.7602453,0,7.9932966,234.16235
20220117T1400,4.5902452,0,6.696387,233.74615
20220117T1500,5.5102453,0,5.6920996,251.56506
20220117T1600,5.9102454,0,6.162207,276.70984
20220117T1700,5.770245,0,2.968636,255.96376
20220117T1800,4.5802455,0,5.1919937,236.30994
20220117T1900,4.790245,0,4.1046314,232.12502
20220117T2000,3.6702452,0,4.2136917,199.98311
20220117T2100,3.2502456,0,3.4152596,198.43495
20220117T2200,2.9602456,0,0.35999998,360
20220117T2300,2.3802454,0,1.1384199,71.56504
20220118T0000,2.3202453,0,3.096837,35.53766
20220118T0100,1.3802454,0,3.0758414,69.443954
20220118T0200,1.0402454,0,3.8773184,68.19859
20220118T0300,0.7802454,0,2.968636,75.96376
20220118T0400,0.5602454,0,3.0758414,69.443954
20220118T0500,0.6802454,0,5.1919937,56.30993
20220118T0600,0.64024544,0,5.1165614,50.7106
20220118T0700,0.6902454,0,5.1165614,50.7106
20220118T0800,0.6902454,0,5.8603754,47.489548
20220118T0900,0.89024544,0,5.904439,37.568573
20220118T1000,1.4302454,0,7.7043357,37.40535
20220118T1100,2.5702453,0,9.726664,38.990982
20220118T1200,3.7902455,0,7.6367526,44.999985
20220118T1300,4.6202455,0,11.885453,54.86579
20220118T1400,5.630245,0,11.792404,58.736267
20220118T1500,5.9302454,0,11.384198,55.304832
20220118T1600,6.0602455,0,11.246759,50.194427
20220118T1700,5.610245,0,7.145796,49.085617
20220118T1800,3.8502455,0,7.24486,63.43495
20220118T1900,3.1402454,0,5.5887027,75.06858
20220118T2000,2.6002455,0,5.2416787,74.054596
20220118T2100,1.7802454,0,5.506941,78.69006
20220118T2200,1.2102454,0,4.0249224,100.30484
20220118T2300,1.3902454,0,2.7416782,113.19859
20220119T0000,0.9002454,0,4.6102495,141.34018
20220119T0100,0.9302454,0,6.4096174,128.15723
20220119T0200,1.2102454,0,5.1165614,140.71059
20220119T0300,0.5902454,0,5.00128,149.74356
20220119T0400,0.3202454,0,5.815978,158.1986
20220119T0500,-0.029754579,0,6.0347,162.64597
20220119T0600,0.2802454,0,5.95906,154.98311
20220119T0700,0.020245433,0,5.6920996,161.56505
20220119T0800,0.2102454,0,5.2416787,164.0546
20220119T0900,-0.04975462,0,4.73506,171.25385
20220119T1000,-0.1397546,0,5.3999996,180
20220119T1100,1.2902454,0,6.162207,186.70984
20220119T1200,2.3202453,0,6.9247384,207.89728
20220119T1300,2.8302455,0,10.009036,217.69424
20220119T1400,3.3102455,0,10.691453,225
20220119T1500,3.6002455,0,12.783802,237.65256
20220119T1600,3.4302454,0,13.527572,244.79889
20220119T1700,3.3702455,0,11.631956,248.1986
20220119T1800,3.3502455,0,10.30883,245.22485
20220119T1900,3.3502455,0,10.685391,237.38075
20220119T2000,3.3102455,0,11.384198,235.30484
20220119T2100,3.0502453,0,10.1887,237.99463
20220119T2200,2.8902454,0,9.885262,236.88866
20220119T2300,2.8502455,0,9.449572,229.63547
20220120T0000,2.6902456,0,8.217153,208.81079
20220120T0100,2.6102452,0,8.287822,214.38034
20220120T0200,2.7502456,0,7.928177,219.47246
20220120T0300,2.5702453,0,8.14587,225
20220120T0400,2.4202454,0,6.8777895,227.1211
20220120T0500,2.1802454,0,8.587338,213.02386
20220120T0600,2.0702453,0,7.491114,215.21759
20220120T0700,2.0602455,0,7.491114,215.21759
20220120T0800,1.9202454,0,7.9932966,215.83765
20220120T0900,1.9602454,0,7.8954163,223.15239
20220120T1000,2.0502453,0,5.815978,248.1986
20220120T1100,2.6002455,0,7.42159,255.96376
20220120T1200,3.1202455,0,7.771331,256.6075
20220120T1300,4.2402453,0,8.707238,262.875
20220120T1400,4.860245,0,10.464797,296.56506
20220120T1500,5.2002454,0,10.00256,300.25644
20220120T1600,5.1202455,0,10.009036,307.69424
20220120T1700,4.5702453,0,6.696387,306.25385
20220120T1800,3.6302452,0,4.829907,296.56506
20220120T1900,3.0302453,0,6.989936,304.50854
20220120T2000,2.8502455,0,6.4096174,308.15723
20220120T2100,1.9302454,0,6.6087217,330.64227
20220120T2200,1.6202455,0,6.638072,347.4712
20220120T2300,1.0102454,0,6.6087217,330.64227
20220121T0000,-0.1897546,0,7.172949,342.47443
20220121T0100,-0.1997546,0,7.342588,348.69006
20220121T0200,0.7402454,0,5.00128,329.7436
20220121T0300,1.0102454,0,2.2768397,288.43497
20220121T0400,0.030245423,0,1.835647,258.69006
20220121T0500,0.23024541,0,1.08,270
20220121T0600,0.34024543,0,3.9763298,5.194412
20220121T0700,-0.27975458,0,4.510787,28.610443
20220121T0800,-0.5897546,0,6.28713,23.629364
20220121T0900,-0.88975465,0,6.5693827,9.462311
20220121T1000,-0.5497546,0,5.506941,11.309921
20220121T1100,0.7202454,0,6.638072,12.528809
20220121T1200,1.8502454,0,10.495713,22.166351
20220121T1300,2.5702453,0,10.137692,16.504364
20220121T1400,3.1402454,0,9.227524,20.55603
20220121T1500,3.5102453,0,7.968939,18.434952
20220121T1600,3.6202455,0,7.42159,14.03624
20220121T1700,3.4902453,0,5.6920996,18.434952
20220121T1800,2.4502454,0,4.379589,9.462311
20220121T1900,1.5702454,0,1.1384199,341.56506
20220121T2000,1.6002454,0,1.8,233.1301
20220121T2100,1.0502454,0,0.8049845,333.43497
20220121T2200,0.9102454,0,0.8049845,333.43497
20220121T2300,0.6802454,0,1.1384199,18.434952
20220122T0000,0.52024543,0,1.4399999,89.99999
20220122T0100,0.7202454,0,0.8049845,116.56505
20220122T0200,0.52024543,0,1.484318,194.03624
20220122T0300,-0.1897546,0,3.096837,215.53769
20220122T0400,-0.3097546,0,3.096837,215.53769
20220122T0500,-0.39975458,0,3.219938,206.56505
20220122T0600,-0.34975457,0,3.9763298,185.19443
20220122T0700,-0.40975457,0,2.9024127,187.12502
20220122T0800,-0.15975457,0,3.6179552,185.71059
20220122T0900,0.3002454,0,3.6,180
20220122T1000,0.4202454,0,2.1897945,189.46233
20220122T1100,1.2302454,0,1.8,216.8699
20220122T1200,2.3502455,0,1.2979984,213.69006
20220122T1300,3.5202456,0,1.5273507,225
20220122T1400,4.5302453,0,1.1384199,341.56506
20220122T1500,5.250245,0,1.1384199,341.56506
20220122T1600,5.440245,0,0.8049845,296.56506
20220122T1700,5.5502453,0,1.835647,348.69006
20220122T1800,4.960245,0,2.2768397,18.434952
20220122T1900,3.4402456,0,2.9024127,60.25511
20220122T2000,1.0402454,0,3.8773184,68.19859
20220122T2100,0.4902454,0,3.7585104,73.30075
20220122T2200,-0.019754589,0,2.8799999,89.99999
20220122T2300,-0.98975456,0,3.319036,77.47118
20220123T0000,-0.5797546,0,2.4149535,63.43495
20220123T0100,-0.8497546,0,2.7416782,66.8014
20220123T0200,-0.8097546,0,2.5455842,81.869896
20220123T0300,-0.9597546,0,2.5455842,81.869896
20220123T0400,-1.1597546,0,2.7416782,66.8014
20220123T0500,-1.2597545,0,2.6208394,74.054596
20220123T0600,-1.2897546,0,3.9763298,84.805565
20220123T0700,-1.3397546,0,3.319036,77.47118
20220123T0800,-0.7097546,0,4.452954,75.96376
